Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Rarely,1197,Research & Development,5,5,Technical Degree,1,1,2,Male,33,2,4,Research Director,4,Divorced,3564,4634,4,Y,No,13,4,3,80,1,33,4,3,22,17,0,0
48,No,Travel_Rarely,722,Human Resources,14,2,Medical,1,2,3,Female,34,3,5,Human Resources,4,Divorced,3960,2175,6,Y,No,12,3,4,80,0,0,1,2,5,3,7,3
58,No,Travel_Rarely,1237,Research & Development,5,5,Human Resources,1,3,3,Female,83,1,2,Manufacturing Director,1,Single,18631,19809,3,Y,No,19,3,3,80,0,20,1,4,12,8,11,9
28,Yes,Travel_Rarely,273,Research & Development,8,4,Medical,1,4,4,Male,99,1,3,Laboratory Technician,2,Married,5736,12008,0,Y,Yes,16,4,1,80,3,2,6,4,22,7,12,17
21,No,Travel_Rarely,800,Sales,7,3,Other,1,5,1,Male,86,2,3,Manager,2,Single,6695,10049,5,Y,No,12,3,2,80,3,26,4,4,8,18,13,1
51,No,Travel_Frequently,374,Sales,13,1,Human Resources,1,6,3,Female,81,2,3,Sales Representative,4,Single,4710,18017,1,Y,Yes,13,3,1,80,0,6,0,1,16,12,11,3
55,No,Travel_Rarely,631,Sales,13,3,Human Resources,1,7,4,Male,47,4,1,Sales Representative,2,Divorced,3789,16930,2,Y,No,20,3,3,80,2,32,2,4,1,1,13,14
21,Yes,Travel_Frequently,420,Research & Development,8,4,Human Resources,1,8,1,Male,93,2,3,Manufacturing Director,1,Single,18981,18834,3,Y,No,16,3,2,80,3,8,6,3,18,18,9,3
55,No,Travel_Rarely,1207,Research & Development,11,3,Life Sciences,1,9,1,Male,39,2,5,Manufacturing Director,4,Married,3377,11605,5,Y,No,14,4,1,80,3,29,3,1,18,13,6,15
36,No,Non-Travel,1200,Research & Development,28,5,Other,1,10,4,Male,52,1,1,Manufacturing Director,3,Divorced,16601,2673,5,Y,Yes,17,3,3,80,1,17,4,4,6,4,2,14
23,No,Travel_Frequently,530,Sales,26,2,Medical,1,11,3,Male,97,1,1,Sales Executive,3,Married,1445,14681,6,Y,Yes,16,4,1,80,3,25,6,3,19,9,12,17
51,No,Non-Travel,948,Human Resources,18,1,Human Resources,1,12,3,Male,81,1,3,Manager,2,Single,3837,2739,4,Y,No,25,3,4,80,3,19,0,3,8,16,1,6
35,No,Travel_Rarely,1471,Research & Development,25,5,Human Resources,1,13,4,Male,76,3,1,Research Director,4,Divorced,2565,17796,6,Y,No,16,3,2,80,2,37,1,3,16,15,3,14
30,No,Travel_Rarely,350,Sales,19,2,Marketing,1,14,3,Male,99,1,2,Sales Executive,4,Married,14373,8357,1,Y,No,22,3,2,80,3,40,5,2,26,16,2,10
58,Yes,Travel_Rarely,488,Sales,6,1,Human Resources,1,15,4,Female,55,1,2,Sales Representative,3,Married,16070,18022,0,Y,No,13,3,2,80,2,30,0,1,1,0,6,7
40,No,Travel_Rarely,464,Sales,22,4,Human Resources,1,16,3,Female,99,2,3,Sales Executive,4,Single,11585,12917,9,Y,No,21,3,4,80,1,7,4,3,35,14,9,0
36,Yes,Travel_Rarely,1421,Research & Development,2,3,Marketing,1,17,3,Female,72,4,5,Laboratory Technician,4,Married,17575,10593,7,Y,No,18,3,2,80,0,22,5,2,18,16,14,2
28,No,Travel_Rarely,169,Research & Development,28,1,Other,1,18,4,Female,98,1,1,Manufacturing Director,4,Single,8199,2327,0,Y,No,19,3,4,80,1,24,1,4,16,10,14,4
18,No,Travel_Rarely,539,Research & Development,13,4,Medical,1,19,4,Male,92,4,4,Manager,2,Single,6574,19512,1,Y,No,16,3,2,80,2,0,0,3,4,4,7,17
41,No,Non-Travel,1117,Sales,23,2,Technical Degree,1,20,3,Male,95,1,3,Sales Representative,4,Single,16378,15024,9,Y,Yes,12,3,1,80,2,17,3,2,38,3,5,11
24,No,Travel_Rarely,1258,Research & Development,25,1,Medical,1,21,4,Female,92,1,1,Laboratory Technician,1,Single,2598,17340,5,Y,No,11,3,1,80,3,18,2,3,17,8,2,11
42,Yes,Non-Travel,1420,Sales,28,4,Other,1,22,3,Male,42,4,3,Sales Representative,2,Divorced,1168,8111,0,Y,Yes,13,3,1,80,3,5,2,1,6,15,5,8
38,No,Travel_Rarely,397,Sales,26,2,Medical,1,23,2,Male,80,2,3,Sales Executive,4,Married,13154,7215,9,Y,No,13,3,1,80,0,16,4,1,16,11,14,10
32,Yes,Travel_Rarely,748,Research & Development,11,5,Marketing,1,24,1,Male,34,1,5,Research Director,4,Married,16382,17190,2,Y,Yes,18,4,4,80,2,7,6,4,38,17,15,16
18,No,Travel_Rarely,134,Research & Development,1,3,Human Resources,1,25,1,Male,76,4,4,Manufacturing Director,1,Divorced,7564,3829,6,Y,Yes,15,3,3,80,2,8,1,3,35,2,1,15
29,No,Travel_Frequently,1499,Research & Development,24,4,Human Resources,1,26,3,Female,65,1,1,Manager,2,Single,17246,6371,7,Y,No,11,3,3,80,1,36,1,2,39,14,14,3
24,No,Travel_Frequently,133,Sales,2,5,Technical Degree,1,27,1,Female,65,3,3,Manager,3,Single,10212,3035,3,Y,Yes,21,3,1,80,0,26,2,4,3,17,11,9
